,PC1,PC2,PC3,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
1571,34.840797412598235,4.30624678390305,4.492497601647563,41,0,0,0,0,0,0,0,0,6,0,47,14,4,0,35,1,0,3,12,6,0,0,0,0,14,2,2,0,12,8,9,0,1,1,5,0,2,0,0,14,13
1572,-23.808625534175537,7.520510992806631,-0.8203268973824696,8,0,0,0,0,0,0,0,4,0,0,12,1,0,0,9,3,0,1,4,4,3,2,0,2,0,0,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0
1573,-28.73490135931806,9.75292999710284,1.4530892225603451,2,0,0,0,0,4,0,0,4,0,0,10,0,0,0,6,5,0,0,4,4,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,1,0,0,0,2,1
1574,12.33546681498538,-2.99626690403454,-5.763187582583958,30,0,0,0,0,0,0,3,0,3,0,36,9,1,2,14,14,0,6,9,6,2,1,0,0,4,5,1,0,15,11,0,0,0,0,5,0,0,0,0,4,2
1575,-9.477938822390325,8.207519905592173,1.4071163394545403,17,0,0,0,0,0,0,0,0,2,1,20,3,2,0,17,1,0,0,6,3,0,0,0,0,5,0,0,0,7,5,3,1,0,0,3,0,0,0,0,5,3
1576,-24.932081677372032,0.01676818368693619,0.7215413573455156,10,0,0,0,0,0,0,0,0,2,0,12,6,0,0,3,3,0,4,4,2,0,0,0,0,2,4,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0
1577,-11.95221162569956,4.4237360750554835,-2.6622003823424336,18,0,0,0,0,0,0,0,0,0,1,19,6,0,0,12,3,0,0,2,1,0,0,0,0,6,0,0,0,5,6,2,0,0,1,2,0,0,0,0,4,2
1578,-8.742404765821462,13.683419707498514,3.2274580706844507,13,0,6,0,0,0,0,0,0,0,1,20,6,0,0,17,1,0,0,2,1,0,0,0,0,6,0,0,0,3,8,3,1,0,2,3,0,0,0,0,11,11
1579,-20.069371729820308,4.609711374175692,-4.768040627958543,13,0,0,1,0,0,0,1,0,0,0,15,3,0,1,9,3,0,1,1,1,0,0,0,0,2,1,0,0,9,2,1,0,0,0,2,0,0,0,0,0,0
1580,35.20349145351923,-15.686470397067206,-21.822409533565665,50,0,0,0,0,0,0,2,0,0,0,52,19,2,0,18,18,0,11,2,2,0,0,0,0,8,2,6,0,24,12,0,0,0,0,6,0,0,0,0,0,0
1581,-33.08969301393745,5.588219964025648,5.97424635796459,1,0,0,0,0,0,0,2,4,0,0,7,2,0,0,3,2,0,1,6,6,5,3,0,1,1,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0
1582,-16.796116943507613,3.522228610082612,-2.8315679254003943,13,0,0,0,0,0,0,0,4,0,0,17,4,0,0,8,7,0,2,4,4,1,1,0,0,2,0,0,0,9,6,0,0,0,3,0,0,0,0,0,0,0
1583,-19.268404712356826,-4.0645540225180845,5.571217403492182,12,0,0,0,0,0,0,1,1,3,0,17,8,3,0,3,3,0,4,8,5,2,2,0,0,6,3,2,0,2,4,0,0,0,0,1,0,0,0,0,0,0
1584,-3.3808769200556426,-7.441336690041216,1.788741479327505,23,0,0,0,0,0,0,0,0,4,0,27,13,2,0,7,6,0,2,8,4,0,0,0,0,10,2,2,1,4,8,0,0,0,0,0,2,0,0,0,2,1
1585,-13.863018916903403,-2.2324340544398016,5.9428448381363586,13,0,0,0,0,1,0,0,1,4,1,20,7,3,0,8,3,0,6,11,6,1,1,0,0,3,5,1,0,7,4,0,0,0,1,1,0,0,0,0,0,0
1586,-22.735104522746276,5.756253373893444,4.684494573501842,8,0,0,0,0,0,0,1,2,1,1,13,3,1,0,8,2,0,0,7,5,1,1,0,0,3,1,0,0,5,3,1,0,0,1,1,0,0,0,0,2,1
1587,-1.597964923662458,7.586663286475069,7.862984090388692,19,0,0,0,0,0,0,0,0,5,1,25,4,4,0,20,1,0,1,12,6,2,2,0,0,7,0,1,0,7,6,4,0,0,3,2,0,0,0,0,7,5
1588,-9.795117975530639,1.9058737934783465,3.694780638443516,17,0,0,0,0,0,0,0,0,2,2,21,8,1,0,14,0,0,2,8,4,0,0,0,0,6,1,1,1,8,1,3,0,0,2,1,0,0,0,0,3,2
1589,-18.39706183858996,1.9294510555543805,-0.5660457857488428,13,0,0,0,0,0,0,0,0,3,0,16,4,1,0,6,6,0,2,6,3,2,2,0,0,3,0,1,0,8,4,0,0,0,0,2,0,0,0,0,0,0
1590,-14.960134729865867,-2.0751300999718194,2.8644036951293965,13,0,0,0,0,0,0,2,2,2,0,19,8,0,0,6,6,0,4,8,6,4,2,0,0,4,3,0,0,6,6,0,0,0,0,2,0,0,0,0,0,0
1591,-3.185724574554161,12.538804120064404,-3.9388451966222684,19,0,0,0,0,0,0,0,3,1,0,23,1,0,0,18,8,0,0,5,4,2,2,0,0,1,0,0,0,13,9,0,0,0,1,3,1,0,0,0,8,4
1592,-20.77030661176757,3.79835793190515,-7.595758006814237,14,0,0,0,0,0,0,0,0,0,0,14,3,0,0,6,6,0,3,0,0,0,0,0,0,0,2,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0
1593,12.962953885243834,-10.252612255156512,-7.664252275338709,33,0,0,0,0,0,0,2,0,3,0,38,13,2,2,12,12,0,8,8,5,0,0,0,0,5,6,3,0,16,8,0,0,0,0,4,0,0,0,0,0,0
